Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
8,17.863,0.224,0.554,1.328,0.618,0.346,0.624,0.158,1.021,2.814,1.550,5.625,3.000
114,19.585,-0.132,8.364,-0.029,0.446,-0.752,-0.759,0.804,0.638,2.410,2.594,3.333,2.667
192,12.917,0.288,5.997,0.783,0.685,-0.157,0.194,-0.818,-0.807,0.796,-0.043,3.000,3.000
359,19.785,-0.071,1.493,0.552,0.840,2.131,0.539,1.293,-0.616,0.825,1.133,2.667,9.000
399,9.597,-0.116,0.326,0.720,0.486,0.695,-0.188,0.790,0.254,0.388,-0.508,4.125,2.625
585,4.099,0.157,0.377,0.231,-0.017,-0.006,-0.072,-0.473,-0.250,-0.772,-0.409,3.333,2.000
1159,16.293,0.052,6.270,0.760,0.431,0.011,0.472,0.536,-0.178,1.098,1.216,3.000,2.625
1661,6.699,0.209,1.909,0.894,1.277,0.159,-0.138,0.248,-0.770,-0.152,-1.063,1.875,2.250
2102,18.303,-0.068,3.108,0.402,0.821,0.061,0.555,-0.216,-0.127,0.653,0.738,3.000,9.375
2543,12.643,0.242,3.275,-0.034,0.086,0.679,0.277,0.626,1.541,0.549,-0.223,3.000,2.625
2576,27.780,-0.035,8.446,0.583,0.777,0.859,1.087,1.207,0.065,2.050,3.741,6.000,3.000
2945,12.239,0.045,7.135,0.727,0.792,-0.649,-0.330,-0.802,-0.147,0.535,-0.400,3.000,2.333
2984,8.454,-0.138,-0.430,0.362,0.413,-0.223,-0.032,0.028,-0.209,0.502,0.683,2.250,5.250
3021,8.290,-0.048,5.534,0.304,0.007,-0.139,-0.270,-0.453,-0.371,0.410,0.649,1.000,1.667
3255,17.026,-0.035,5.152,-0.357,-0.634,0.354,0.127,0.594,0.442,1.600,1.115,2.667,6.000
3256,12.673,-0.179,5.316,0.641,1.424,-0.107,0.128,0.431,0.759,-0.117,0.252,1.875,2.250
3328,9.013,-0.125,2.936,-0.064,0.060,-0.137,-0.117,0.383,0.080,0.548,0.114,3.000,2.333
3341,16.668,-0.169,6.139,0.639,1.039,-0.614,0.060,-0.070,0.413,2.326,1.280,3.000,2.625
3647,26.839,-0.123,5.488,2.434,3.709,0.092,-0.417,0.925,1.578,2.636,1.851,5.667,3.000
4414,23.604,-0.163,3.787,-1.027,-1.564,3.354,3.780,2.069,1.532,0.880,0.621,5.000,5.333
4415,19.901,0.009,6.926,-0.075,0.029,0.531,0.436,0.170,0.167,0.193,-0.109,3.375,8.250
4738,10.375,0.184,-0.033,-0.186,-0.613,0.358,0.279,0.104,-0.300,1.484,0.765,6.000,2.333
4984,10.231,0.103,1.693,1.425,1.662,-0.217,-0.698,0.081,0.023,1.092,1.068,2.333,1.667
5025,13.955,-0.088,3.221,1.625,2.141,-0.426,-0.348,0.106,0.119,1.443,0.913,3.000,2.250
5059,13.761,0.243,5.583,0.066,0.171,0.101,0.228,0.826,0.338,0.986,0.553,1.667,3.000
5137,21.313,0.662,6.818,1.726,2.110,-0.516,-0.261,-0.262,-0.613,0.806,0.176,5.667,5.000
5199,9.728,-0.132,4.162,0.457,0.012,-0.074,-0.127,-0.012,-0.344,0.920,0.531,2.667,1.667
5474,7.767,-0.171,4.093,-0.491,-0.373,0.018,0.164,-0.561,-0.480,-1.071,-0.029,4.333,2.333
5526,14.705,-0.059,6.521,0.729,1.054,0.023,-0.076,0.628,-0.271,0.612,-0.082,4.500,1.125
6402,2.737,0.237,0.001,-0.917,-1.052,0.690,-0.590,0.714,0.458,0.231,-1.036,2.333,1.667
6560,10.989,0.094,4.191,-0.122,-0.251,-0.132,-0.089,-0.106,0.016,-0.391,-1.219,3.000,6.000
6918,11.044,-0.063,6.106,0.719,1.543,-0.378,-0.667,-0.024,-0.186,0.297,0.030,2.000,1.667
6948,21.534,0.059,6.508,0.873,1.530,0.384,0.434,0.881,1.530,0.741,0.344,2.625,5.625
7137,8.794,-0.132,4.255,-0.186,-0.125,0.270,0.246,-0.028,-0.049,-0.673,-0.115,4.000,1.333
7426,16.817,0.168,1.761,0.013,-0.562,1.104,0.803,1.710,1.459,1.959,2.068,4.333,2.000
