Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
159,13.104,0.288,0.950,0.390,0.152,0.163,-0.037,0.892,0.211,0.275,0.039,3.000,2.143
294,17.198,-0.091,1.598,0.632,0.541,-0.045,0.014,-0.173,-0.167,0.242,-0.344,2.571,8.571
330,31.229,-0.213,0.802,0.231,0.083,0.338,0.081,1.451,1.258,1.558,1.512,2.571,10.714
597,11.241,-0.492,1.690,0.343,0.221,0.116,0.054,0.013,-0.002,0.329,0.292,1.714,2.143
812,6.249,0.233,-0.599,0.545,-0.377,-0.160,-0.045,-0.027,0.067,0.393,-0.190,3.000,4.714
841,3.797,0.084,0.194,0.087,-0.307,0.177,-0.021,-0.033,-0.153,0.258,-0.114,1.714,2.143
973,33.617,-0.163,2.526,1.001,0.999,-0.066,-0.041,0.638,0.238,1.507,1.288,3.000,9.750
1160,16.642,0.122,1.839,0.220,0.324,0.357,0.028,0.434,0.025,1.593,0.514,0.000,3.000
1515,9.109,-0.010,1.504,0.024,0.258,-0.390,-0.020,-0.072,-0.067,-0.198,-0.208,3.000,3.000
1836,15.851,0.576,1.591,0.737,0.205,-0.289,-0.044,0.408,0.224,0.214,-0.075,1.714,5.143
2493,9.641,0.074,0.595,-0.103,-0.146,0.890,-0.004,0.102,0.144,-0.026,0.001,3.000,3.000
2496,1.169,0.014,0.747,0.200,0.124,-0.408,-0.059,-0.028,-0.077,-0.408,-0.639,0.429,1.714
3250,14.442,0.115,1.966,0.814,0.824,0.539,0.020,0.579,0.101,-0.012,-0.167,0.000,2.143
3295,3.092,0.171,1.000,-0.067,-0.032,-0.141,-0.028,-0.358,-0.099,-0.320,0.040,0.000,1.875
3309,19.563,-0.064,0.599,-0.093,-0.133,0.446,-0.048,0.969,0.728,1.158,1.764,2.571,3.429
3473,9.724,-0.175,0.784,0.293,0.029,0.217,0.034,0.463,0.012,0.514,0.365,1.286,2.143
3759,11.410,-0.010,2.871,0.058,0.163,0.064,0.022,0.301,0.027,-0.450,0.174,0.000,1.714
3859,8.785,0.176,1.512,0.494,0.033,-0.056,-0.060,-0.157,-0.033,0.128,0.086,0.000,3.000
3952,9.497,-0.110,0.598,0.920,0.486,0.254,0.251,0.144,-0.037,0.950,-0.197,0.000,1.875
3953,4.082,0.103,0.618,-0.047,0.134,-0.116,0.030,-0.477,-0.237,-0.212,0.315,0.429,2.571
4056,6.211,-0.180,-0.112,0.053,0.249,0.026,0.058,-0.035,0.138,0.049,-0.062,2.571,3.000
4079,16.454,0.089,0.491,0.452,0.513,0.337,0.108,-0.039,0.125,0.328,0.327,0.429,9.000
4114,4.652,0.332,0.227,0.949,0.330,-0.189,0.005,-0.057,-0.165,-0.120,-0.314,0.000,2.571
4161,6.813,-0.355,0.552,-0.150,0.234,0.232,0.032,0.165,-0.095,0.181,0.213,1.286,2.571
4201,11.489,-0.095,1.229,-0.666,-0.537,-0.093,-0.015,0.552,0.091,0.649,0.402,3.000,4.286
4276,14.283,-0.057,2.540,0.281,0.503,-0.210,-0.070,-0.262,-0.022,0.103,-0.094,3.000,3.000
4481,23.727,0.300,0.822,-0.123,-0.267,1.408,0.300,1.724,0.850,1.321,0.688,0.000,7.286
4619,11.373,-0.045,1.738,0.542,0.660,0.049,0.030,-0.211,-0.060,0.472,-0.115,0.000,3.000
4763,8.397,0.247,0.603,0.210,0.200,0.124,-0.000,0.253,0.011,0.457,0.696,0.429,0.857
4913,9.720,1.206,0.162,0.939,0.463,-0.057,-0.027,-0.252,0.040,0.114,0.445,0.000,2.571
5012,10.401,-0.084,1.008,-0.247,-0.125,-0.001,-0.047,-0.137,0.084,0.487,0.535,3.000,3.000
5500,7.802,-0.135,1.109,0.683,0.659,0.074,0.247,0.039,-0.333,-0.017,-0.226,0.000,2.143
5669,17.124,-0.100,1.535,0.400,0.593,0.034,-0.044,0.166,0.378,0.687,0.739,2.571,2.571
5802,18.255,-0.049,3.210,0.122,-0.118,0.302,-0.002,1.048,0.605,0.456,0.280,1.714,0.857
5805,14.996,-0.070,-0.036,0.839,0.301,0.883,0.150,0.781,0.080,1.499,0.006,3.000,2.625
5810,3.574,0.166,0.966,-0.190,0.001,-0.074,-0.055,-0.011,0.073,-0.269,-0.255,0.000,2.143
5835,0.001,0.234,0.080,0.376,0.223,-0.124,-0.076,-0.666,-0.338,-0.243,-0.035,0.000,1.286
5851,8.483,-0.120,1.005,0.445,0.340,-0.074,0.036,0.528,-0.056,0.687,-0.045,0.000,1.714
5966,8.848,-0.104,2.678,0.096,0.238,-0.104,-0.074,0.267,-0.120,-0.419,-0.454,0.000,2.571
6072,11.455,0.319,1.278,0.478,0.278,0.403,-0.042,0.410,-0.263,0.187,0.083,2.143,1.714
6220,8.243,0.184,-0.063,0.200,0.294,0.308,0.035,0.902,0.004,0.382,-0.411,2.571,2.143
6499,9.640,0.038,0.614,0.874,0.154,0.028,0.006,0.221,0.128,0.556,0.310,0.000,2.571
6535,3.981,0.089,0.727,0.232,-0.136,-0.233,-0.054,-0.344,-0.070,0.625,-0.099,0.000,2.143
6692,4.728,-0.129,0.839,0.087,0.109,-0.017,-0.019,-0.374,-0.250,-0.061,-0.202,1.714,2.571
7157,3.684,0.199,-0.102,0.132,-0.109,-0.084,-0.025,-0.035,-0.099,0.301,-0.209,2.143,2.143
7230,1.977,0.025,0.032,-0.110,-0.295,-0.057,-0.067,-0.304,-0.129,0.625,0.285,0.000,2.143
7447,17.485,1.029,0.489,1.337,0.738,0.037,-0.107,0.040,-0.164,2.360,0.670,0.000,3.000
7482,7.065,0.092,0.494,-0.055,0.330,-0.077,-0.012,0.036,0.057,0.031,-0.247,2.143,3.000
7524,0.039,-0.189,-0.227,0.071,0.076,-0.300,-0.011,-0.341,0.012,0.199,0.393,0.000,0.429
