Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
166,18.918,-0.351,0.430,1.132,0.483,1.468,0.707,2.656,0.958,2.350,1.961,4.500,2.625
832,15.144,0.780,4.551,0.584,1.228,0.119,0.015,0.199,0.145,-0.864,-0.614,2.625,6.375
1102,19.978,-0.224,2.041,-0.674,-1.453,1.057,0.536,2.161,1.927,2.000,2.940,5.667,4.000
1414,19.507,-0.122,5.824,1.049,0.469,0.569,0.028,0.240,-0.292,1.465,2.027,2.625,5.625
1648,11.897,-0.160,4.978,0.835,0.877,-0.039,-0.018,0.060,0.664,0.647,0.385,1.333,2.333
1683,13.108,0.023,6.954,0.982,1.404,0.538,-0.040,0.388,-0.165,-0.362,-0.948,2.667,1.667
1746,2.121,0.436,-1.909,1.501,-0.837,-0.250,-0.202,-0.219,-0.175,0.176,-0.733,2.333,2.000
1747,14.867,-0.208,-0.802,0.127,-0.349,2.969,3.718,2.118,1.146,1.327,0.321,3.000,1.500
2655,20.634,0.022,1.614,1.186,-0.262,-0.117,0.262,0.584,0.640,2.496,4.209,4.000,6.000
3494,13.489,0.561,2.341,0.879,1.599,0.143,-0.060,-0.141,-0.165,1.522,0.477,4.000,2.333
3581,5.552,0.562,0.188,-0.101,-0.448,-0.319,-0.040,0.460,-0.204,1.517,0.186,2.250,1.500
3998,8.843,0.028,2.329,1.636,1.315,-0.038,-0.178,0.149,-0.091,0.256,-0.562,2.333,1.667
4112,12.663,0.124,7.083,0.471,0.361,-0.232,-0.092,-0.397,-0.342,0.286,0.525,2.250,2.625
4188,11.227,0.518,4.259,-0.217,0.051,0.370,0.217,0.328,0.525,1.107,-0.431,2.625,1.875
4189,13.982,0.117,3.436,1.690,1.705,0.197,0.201,0.400,-0.097,-0.575,-0.092,2.667,4.333
4240,3.272,0.075,0.655,-0.080,-0.616,0.011,-0.184,-0.199,-0.335,1.028,-0.750,1.333,2.333
4509,9.779,0.314,1.809,0.170,0.917,0.225,0.678,-0.110,0.537,-0.389,0.628,2.667,2.333
4701,13.354,-0.087,7.240,0.050,0.794,-0.550,-0.487,-0.472,-0.048,0.248,0.665,3.000,3.000
4795,13.101,0.040,3.555,-0.207,0.412,-0.011,0.315,-0.005,0.391,-0.453,0.397,3.000,5.667
5109,19.821,-0.005,6.641,1.427,2.624,0.160,-0.065,-0.020,0.032,1.044,0.483,1.875,5.625
5608,3.014,-0.052,1.062,-0.506,0.110,0.068,0.248,-0.461,-0.376,0.093,-0.506,1.333,2.000
5651,12.142,0.336,0.192,1.621,1.431,-0.084,-0.010,0.133,0.208,1.771,0.920,3.000,2.625
5734,2.665,0.213,0.064,0.836,0.952,-0.157,-0.183,-0.457,-0.333,-0.636,-0.634,2.667,0.333
6340,18.696,-0.192,9.290,0.899,1.345,0.088,-0.489,0.074,-0.302,1.671,0.645,3.000,2.667
6471,11.733,-0.185,-0.388,0.767,0.294,0.198,0.268,0.247,0.278,1.043,-0.456,2.667,7.000
6705,7.555,0.154,2.838,1.075,0.521,-0.157,-0.145,0.105,-0.087,0.780,-0.155,1.500,1.125
6712,-0.601,0.100,-0.715,-0.131,0.426,-0.410,-0.356,-0.539,-0.376,-0.655,-1.320,2.250,1.125
6750,7.586,-0.244,1.698,0.416,0.698,-0.182,-0.027,-0.082,-0.074,0.567,0.689,3.000,1.125
6887,8.120,-0.139,3.658,-0.117,-0.541,0.050,0.106,0.215,-0.280,1.166,-0.332,2.667,1.667
6905,-0.562,-0.288,-3.487,0.773,-0.300,0.897,0.431,0.443,0.131,0.408,0.429,0.000,0.000
6910,6.743,-0.381,0.507,-0.441,-1.107,0.148,0.007,0.476,0.246,1.938,0.850,1.875,2.625
6919,14.841,0.943,2.119,1.899,1.125,-0.471,-0.215,0.131,-0.410,1.829,0.392,2.625,4.875
7060,1.707,0.258,-0.247,-0.301,-0.697,-0.288,-0.259,-0.015,-0.236,0.335,-0.217,1.875,1.500
7104,6.170,-0.122,-0.117,0.206,-0.108,-0.314,-0.132,-0.308,-0.122,-0.080,-0.398,4.667,3.000
7449,19.328,-0.099,6.279,0.770,1.840,0.578,-0.038,0.227,0.039,0.313,2.085,4.667,2.667
7514,5.621,0.234,-0.075,0.371,-0.407,0.043,0.046,0.153,0.104,0.083,-0.181,2.625,2.625
7538,6.669,0.007,1.379,0.281,1.053,0.070,0.227,0.070,0.041,0.521,0.354,0.000,2.667
7676,5.436,-0.288,-1.027,0.897,-0.806,-0.121,-0.069,0.067,-0.011,0.642,0.153,4.000,2.000
