Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
280,7.073,-0.010,1.287,0.019,-0.122,0.058,0.060,-0.036,0.012,0.295,-0.263,2.000,1.500
548,23.775,-0.019,0.136,0.489,0.155,1.079,0.689,1.218,0.510,2.067,1.046,3.000,3.500
703,8.246,-0.030,1.320,-0.240,-0.246,0.247,0.020,0.475,-0.110,0.839,0.238,0.000,2.000
815,7.525,0.141,0.162,0.122,-0.209,0.231,-0.138,-0.187,0.188,0.780,0.114,2.500,2.500
1023,17.077,0.043,-0.045,0.765,0.525,0.084,0.202,-0.104,-0.220,1.243,1.043,0.000,8.500
1250,17.215,-0.065,3.344,0.285,0.251,0.301,0.068,0.114,0.114,0.319,-0.507,2.500,3.000
1481,17.670,-0.052,2.250,0.021,-0.095,0.261,0.063,0.252,-0.041,0.736,-0.265,2.500,7.000
1528,2.713,0.024,-0.190,0.247,0.201,-0.008,-0.006,-0.029,-0.028,0.105,-0.133,0.000,2.500
1701,2.425,0.023,-0.850,-0.152,-0.001,-0.340,0.042,0.146,0.155,0.044,-0.019,2.000,3.000
1718,21.755,0.162,-1.027,0.307,-0.120,1.598,1.449,1.923,1.765,0.706,0.721,3.000,1.000
2620,9.617,0.038,0.261,0.043,-0.030,0.146,0.130,-0.191,0.118,0.286,0.012,2.500,5.000
3536,15.796,-0.038,3.273,0.009,-0.124,0.388,0.134,0.608,-0.165,0.021,-0.011,0.000,4.500
3547,12.591,-0.039,0.084,0.000,0.152,0.251,0.169,0.484,-0.044,0.397,0.275,3.000,5.500
3604,22.257,-0.046,2.211,0.107,0.210,0.259,-0.099,0.526,0.115,0.419,0.640,0.500,10.000
3641,12.958,-0.030,0.201,0.019,0.051,0.143,0.286,0.737,0.778,0.367,1.178,0.000,3.000
3655,17.387,0.175,1.654,0.864,0.029,-0.270,-0.196,0.049,-0.058,1.259,0.649,0.000,7.000
4384,2.228,-0.011,-0.050,0.640,0.722,-0.253,-0.110,-0.118,-0.047,-0.232,-0.123,0.000,1.000
4568,12.680,0.016,1.296,0.453,0.337,0.408,0.420,0.264,-0.032,0.389,0.350,0.500,2.000
4838,2.630,0.043,-0.174,0.827,0.508,-0.137,-0.110,-0.070,-0.018,-0.566,-0.060,0.000,2.000
4840,7.658,0.030,0.715,0.247,-0.145,-0.254,0.006,-0.200,0.085,0.405,0.073,2.000,3.000
5067,13.447,-0.039,2.354,-0.113,-0.143,0.109,0.119,-0.076,0.095,-0.286,0.328,3.000,3.000
5090,14.745,0.000,1.451,0.664,0.737,0.338,-0.023,0.105,-0.067,0.359,-0.160,2.500,3.500
5197,2.023,0.030,-0.045,-0.482,-0.295,-0.045,-0.198,0.770,-0.029,0.138,0.134,0.000,2.500
5263,13.776,-0.013,2.319,0.593,0.433,-0.143,-0.124,0.163,-0.051,0.766,-0.229,1.500,2.500
5498,11.602,-0.004,1.885,-0.224,-0.038,-0.424,-0.470,-0.019,-0.000,1.488,0.279,2.500,2.500
5853,2.140,0.015,1.543,-0.389,-0.191,-0.349,-0.139,-0.266,-0.160,-0.361,-0.106,0.000,2.000
5901,14.699,-0.005,2.327,0.393,0.834,0.292,-0.111,0.132,0.009,0.014,0.124,2.000,1.500
6029,5.745,-0.029,-0.269,0.935,0.156,-0.162,0.001,-0.205,0.003,1.155,0.227,0.000,2.000
6081,8.636,-0.004,1.877,-0.262,-0.123,0.030,-0.103,0.524,-0.182,0.625,-0.366,1.000,2.500
6190,7.285,-0.010,-0.179,0.182,0.087,0.406,0.170,0.227,0.085,0.128,0.310,1.500,2.500
6528,21.222,-0.023,3.246,0.782,0.859,0.049,-0.310,0.122,0.162,1.123,0.248,2.000,2.500
6570,13.724,-0.044,-0.371,0.025,0.049,1.346,0.407,0.630,-0.030,0.300,0.514,2.000,5.500
6618,8.734,-0.032,0.132,0.593,0.675,0.048,-0.102,0.144,-0.325,1.042,0.835,0.000,1.500
7143,2.176,-0.024,0.010,0.025,-0.103,-0.074,0.111,-0.201,-0.059,-0.072,-0.003,0.500,2.500
7196,14.522,0.053,3.328,0.022,0.190,-0.330,-0.138,0.577,0.190,-0.188,-0.319,2.000,2.500
7788,5.220,0.023,0.309,0.325,0.191,-0.279,0.077,-0.390,-0.055,-0.171,-0.121,3.000,2.000
7789,13.265,-0.017,2.376,0.216,0.288,0.114,-0.126,0.136,0.072,-0.114,0.088,2.500,2.000
7807,12.659,-0.035,0.934,0.892,0.543,0.207,0.031,0.171,0.085,1.325,-0.247,1.500,2.000
7856,6.275,-0.015,0.873,0.001,-0.084,-0.116,0.023,0.065,0.135,0.635,0.264,0.000,1.500
7865,5.661,-0.015,0.040,-0.083,0.051,-0.042,0.161,-0.138,0.045,0.048,0.242,2.000,2.500
