Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
27,19.796,-0.041,2.146,0.446,0.063,0.082,-0.003,0.541,0.211,0.299,-0.203,0.000,10.500
70,2.144,-0.500,-0.041,0.124,-0.039,-0.091,-0.020,-0.321,-0.043,0.041,-0.216,0.000,4.714
245,16.941,0.723,2.034,0.759,0.549,0.264,-0.012,0.461,-0.018,0.455,-0.431,3.000,2.250
468,6.284,-0.249,0.039,0.411,0.289,-0.054,-0.041,0.626,0.040,-0.535,-0.223,3.000,2.571
1322,10.789,0.146,0.432,0.379,0.124,0.320,0.139,0.179,-0.015,0.351,0.000,2.571,3.429
1506,14.296,-0.199,0.696,0.163,0.280,-0.074,-0.026,0.619,0.150,1.445,0.649,0.000,5.143
2145,11.604,-0.190,2.366,-0.315,-0.143,-0.193,0.014,0.058,0.289,0.452,0.752,0.000,2.143
2612,8.265,0.039,0.452,0.394,0.369,0.249,0.134,-0.120,-0.007,-0.229,-0.130,2.143,3.000
3535,15.490,-0.022,2.204,0.097,0.259,0.194,-0.005,0.149,0.043,0.376,0.258,1.125,4.500
3542,25.447,-0.072,3.641,1.050,1.090,0.100,0.009,0.127,-0.109,1.522,1.317,0.000,2.143
3568,8.721,0.381,0.939,1.068,0.620,-0.067,-0.024,-0.165,-0.028,-0.139,-0.069,0.000,2.250
4994,7.333,-0.342,1.833,0.151,0.109,-0.158,0.001,-0.288,-0.044,0.047,0.189,0.000,2.250
5084,13.877,-0.030,1.684,0.269,0.545,-0.213,-0.034,0.231,0.002,0.919,0.501,0.000,3.429
5086,8.174,0.786,1.423,-0.080,-0.176,0.021,0.025,0.055,-0.032,0.335,0.169,0.000,1.714
5114,14.715,0.185,2.627,-0.036,0.090,0.258,-0.011,0.561,-0.008,0.254,-0.179,2.571,2.143
5150,7.335,-0.141,0.727,-0.151,-0.336,-0.078,0.011,-0.012,-0.002,0.468,0.130,3.000,2.571
5215,1.164,0.024,-0.610,0.165,0.039,-0.093,-0.007,-0.057,-0.030,0.101,0.047,0.000,2.571
5234,12.124,0.309,0.821,0.119,0.231,0.092,0.126,0.429,-0.007,0.860,0.665,1.125,1.875
5260,8.375,-0.051,0.618,0.437,0.298,0.362,-0.009,0.552,-0.010,0.432,0.025,0.000,2.143
5527,6.286,-0.039,1.475,-0.084,0.072,0.031,-0.039,0.088,0.004,-0.245,-0.251,2.143,0.857
5533,4.076,-0.199,0.505,0.247,0.241,0.035,-0.032,0.040,0.136,-0.418,-0.151,0.000,2.571
5538,5.448,0.264,-0.135,0.753,0.180,-0.054,-0.004,-0.127,-0.035,0.165,0.286,0.857,1.714
5561,16.995,0.598,0.295,0.218,0.518,0.041,-0.032,0.370,-0.050,0.202,-0.268,3.000,9.750
5562,7.919,-0.144,0.673,-0.050,-0.021,-0.025,-0.035,0.125,-0.018,0.114,0.153,2.625,3.000
5612,13.918,-0.239,3.021,-0.211,-0.071,-0.098,-0.010,0.001,-0.023,1.087,0.486,0.000,2.625
5641,11.611,0.236,-0.433,0.621,0.517,0.228,0.036,-0.011,-0.052,0.358,0.276,0.429,7.286
5697,4.927,-0.038,0.703,0.098,0.097,0.013,-0.020,-0.095,-0.031,0.373,0.032,0.000,1.875
5774,4.602,0.101,0.239,-0.260,-0.385,-0.065,0.008,-0.008,-0.012,0.345,0.037,3.000,1.714
6019,4.324,-0.092,0.329,0.327,-0.221,-0.098,-0.011,0.035,0.046,0.196,0.053,0.000,3.000
6086,11.810,0.235,1.267,0.198,0.147,0.107,-0.007,0.387,0.006,0.021,0.017,3.000,2.625
6091,2.057,0.124,1.185,-0.273,-0.066,-0.057,-0.016,-0.069,0.037,-0.230,-0.368,0.000,0.750
6102,9.588,-0.160,0.704,0.569,0.346,-0.005,0.026,-0.260,-0.012,0.690,0.200,1.875,2.250
6548,9.155,0.258,0.834,0.792,0.673,-0.009,0.018,-0.302,-0.101,-0.046,-0.120,1.286,2.571
6595,1.577,0.036,-0.375,0.601,0.144,0.066,-0.012,0.296,0.015,-0.449,-0.327,0.000,2.143
6597,6.721,-0.138,1.056,0.122,0.009,0.153,0.006,0.411,0.255,0.262,-0.340,0.000,2.143
6610,4.354,0.083,0.134,0.062,-0.099,0.013,0.002,-0.107,0.010,-0.311,-0.135,2.571,2.571
7491,20.917,0.168,3.245,0.752,0.714,0.140,-0.006,0.053,-0.129,0.414,0.414,3.000,2.143
7501,15.444,1.163,0.664,1.224,1.186,0.047,0.008,0.107,-0.019,0.640,0.187,0.000,3.000
7772,3.294,-0.072,-0.182,0.365,-0.117,-0.021,-0.021,-0.120,-0.012,-0.016,-0.161,3.000,1.500
7818,8.971,-0.232,-0.188,0.402,0.066,0.014,0.020,0.352,0.022,0.514,0.369,3.000,3.000
