Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
33,27.185,-0.076,-0.459,0.792,0.641,1.011,-0.052,1.408,0.084,1.500,0.758,3.000,12.000
94,7.658,0.782,-0.134,0.857,0.212,0.022,-0.047,-0.237,-0.065,-0.018,-0.066,2.143,3.000
123,14.568,0.052,1.152,-0.241,-0.038,-0.108,0.054,0.121,0.007,0.485,0.474,3.000,6.000
201,10.362,-0.197,1.218,0.224,0.261,-0.008,0.001,0.429,0.273,-0.015,0.037,0.000,4.125
573,11.524,0.963,-0.125,0.829,0.430,0.100,-0.039,-0.065,-0.081,0.602,0.036,3.000,3.000
835,2.040,-0.159,-0.377,0.535,0.541,0.047,-0.035,-0.014,-0.019,-0.636,-0.137,0.429,2.143
1188,14.114,0.532,0.499,1.065,0.377,-0.052,0.023,0.164,0.103,0.952,0.304,2.250,2.625
2048,14.121,0.242,1.839,0.060,-0.178,0.138,-0.016,0.135,-0.155,-0.285,0.398,2.250,5.625
2224,2.938,-0.008,-0.186,0.138,-0.199,0.021,0.022,0.208,0.037,0.201,-0.068,1.286,1.714
2673,4.654,0.901,-0.580,0.338,0.457,0.082,-0.016,-0.108,0.057,0.017,-0.045,0.000,2.571
2834,16.026,0.369,0.711,0.241,0.106,0.223,0.264,0.156,0.246,0.720,0.127,3.000,5.250
3414,16.319,-0.443,2.625,0.515,0.465,0.062,0.041,0.181,0.144,0.791,0.140,1.714,2.143
3538,30.038,-0.168,3.471,0.704,0.878,-0.190,-0.061,-0.008,-0.029,1.178,0.244,3.000,10.500
4377,9.683,0.098,0.006,-0.146,-0.221,0.182,0.282,0.542,0.246,0.509,0.412,3.000,2.143
4680,17.702,0.361,1.391,0.344,0.491,-0.097,-0.040,-0.240,-0.083,-0.008,0.044,2.571,9.000
4737,8.543,-0.312,0.980,-0.166,0.032,0.032,-0.089,0.004,-0.123,0.340,0.366,2.250,3.000
4851,2.775,0.338,-0.466,0.454,-0.029,-0.093,-0.060,0.311,-0.173,0.528,-0.230,0.000,2.571
4854,1.905,-0.008,0.556,-0.127,0.093,-0.102,-0.082,-0.192,-0.161,-0.317,-0.274,1.286,1.714
5048,5.997,0.180,-0.380,-0.294,0.129,0.376,0.059,0.867,0.099,1.092,-0.102,0.429,1.714
5436,25.083,0.372,1.094,1.058,0.944,0.816,0.302,0.616,0.604,1.291,0.934,0.429,4.714
5467,7.523,-0.158,1.066,0.216,0.105,-0.163,-0.015,-0.241,-0.100,0.028,-0.336,3.000,3.000
5478,5.350,0.242,0.670,-0.088,-0.399,0.130,0.029,-0.285,-0.040,0.300,-0.247,2.571,2.143
5531,10.076,0.185,3.285,-0.073,0.113,-0.236,-0.063,-0.172,-0.135,-0.359,-0.119,0.000,2.143
5532,3.967,0.178,0.525,0.240,-0.110,-0.139,0.005,-0.044,0.131,-0.096,0.178,0.000,1.500
5619,1.868,0.407,0.306,0.313,0.060,-0.203,-0.123,-0.278,-0.145,-0.754,-0.257,1.125,2.250
5756,11.123,0.834,1.943,0.056,-0.003,-0.035,0.047,0.220,0.010,0.474,0.303,0.000,1.125
6013,1.298,-0.218,0.399,0.131,-0.032,0.003,-0.056,-0.109,-0.145,-0.092,-0.294,0.000,2.250
6093,5.424,0.129,-0.605,0.123,-0.325,0.223,0.031,0.584,0.005,0.625,-0.134,2.571,2.571
6117,10.291,0.519,1.953,0.085,-0.081,-0.221,-0.051,-0.032,-0.115,0.223,0.056,3.000,0.857
6545,3.864,-0.270,0.072,0.458,-0.073,0.012,0.047,0.445,0.016,0.433,0.007,0.000,1.500
6567,8.889,0.089,1.733,0.110,0.061,0.137,0.029,0.049,-0.041,-0.024,-0.184,1.500,1.875
6616,8.457,0.137,1.631,0.236,0.028,-0.108,-0.049,-0.029,-0.065,0.006,0.112,0.000,3.000
6742,16.587,1.583,-0.189,1.098,0.669,-0.110,0.003,0.345,0.159,1.680,0.109,2.143,3.000
7073,4.326,0.036,0.292,-0.260,0.176,-0.134,-0.069,-0.069,-0.096,-0.292,-0.097,2.143,3.000
7191,4.944,-0.146,-0.791,0.326,0.171,0.080,-0.003,0.012,0.017,0.297,0.161,3.000,2.143
7218,6.543,0.043,0.129,0.068,0.080,0.068,-0.035,0.101,0.238,0.454,0.138,1.714,1.714
7232,5.251,-0.243,0.762,0.247,0.278,0.194,0.023,0.064,0.013,0.128,-0.157,0.429,1.286
7692,8.600,0.146,0.312,0.475,0.088,-0.009,0.013,-0.146,0.004,0.857,-0.004,3.000,1.714
7716,2.827,-0.202,0.812,0.171,0.143,-0.023,-0.040,-0.035,-0.086,-0.232,-0.244,0.000,1.714
7857,2.954,-0.336,-0.169,0.101,-0.177,0.087,0.051,-0.094,0.079,0.496,0.175,0.000,2.571
