Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
88,21.494,-0.120,3.126,0.231,0.159,0.013,-0.028,0.769,0.510,0.684,0.547,3.000,2.400
95,17.188,0.079,0.503,-0.119,-0.020,0.581,0.083,0.981,0.547,1.453,0.433,3.000,3.600
131,11.032,-0.052,1.694,0.562,0.602,0.221,-0.030,0.428,0.220,-0.022,0.034,0.000,1.200
348,7.068,0.036,0.359,0.215,-0.039,0.030,0.017,0.038,0.079,-0.029,-0.053,2.700,2.700
467,4.894,0.218,-0.156,0.411,0.005,0.131,0.020,-0.061,0.003,0.563,-0.181,0.300,3.000
663,7.975,0.173,1.215,0.396,0.430,0.130,-0.029,-0.212,-0.096,-0.126,-0.002,0.000,2.700
811,11.100,-0.052,0.332,0.239,0.413,0.566,-0.056,0.790,-0.010,1.251,0.657,0.000,1.500
1247,8.433,-0.010,1.295,0.138,0.041,-0.164,-0.096,-0.156,0.072,-0.386,-0.116,3.000,3.000
1277,9.239,0.239,0.318,0.870,0.451,0.212,-0.040,0.097,-0.006,0.976,-0.140,0.900,1.800
1512,2.630,-0.120,-0.009,0.123,-0.003,-0.097,-0.056,-0.113,-0.088,-0.010,-0.024,2.100,1.500
1519,27.901,0.107,2.512,0.332,0.361,0.108,0.071,0.051,0.253,0.528,0.352,3.000,12.000
1721,9.637,0.118,-0.197,0.177,-0.335,0.621,0.009,1.497,0.174,1.125,0.402,0.000,2.400
1729,13.945,-0.081,1.524,0.181,0.087,0.404,0.119,0.157,-0.038,0.420,0.137,0.900,5.400
1831,4.099,0.008,0.977,0.386,0.177,-0.210,-0.150,-0.035,-0.175,0.015,-0.172,0.000,1.800
2084,6.083,-0.190,1.811,0.318,0.153,-0.071,-0.106,-0.064,-0.162,0.139,-0.210,0.000,1.364
3467,8.171,-0.035,2.216,0.311,0.113,0.042,-0.012,-0.132,-0.195,0.043,-0.189,0.000,1.909
3566,5.324,0.343,0.459,-0.015,-0.099,-0.129,-0.106,0.165,-0.013,0.678,0.138,0.000,2.100
3958,11.950,1.424,0.079,1.193,0.611,-0.135,0.017,-0.102,-0.109,1.261,0.158,0.000,2.400
4564,15.643,-0.000,1.830,0.855,1.011,0.492,0.144,0.232,0.198,-0.085,0.036,0.545,2.455
4761,16.223,0.003,0.011,0.673,0.714,0.313,-0.010,0.390,0.242,0.304,0.529,0.000,8.400
4905,10.931,-0.084,2.100,0.357,0.368,-0.103,-0.048,0.075,0.036,0.247,0.160,0.000,2.100
4929,12.702,0.096,1.731,0.312,0.397,-0.151,0.043,0.068,-0.036,0.474,0.167,0.000,4.200
4958,8.576,0.162,0.795,0.375,0.611,-0.134,-0.043,0.164,0.088,0.440,-0.163,0.000,2.700
4987,9.984,-0.249,1.007,0.135,0.431,-0.229,-0.028,0.379,-0.093,0.295,0.190,2.400,2.400
5265,5.591,0.071,0.737,0.185,0.216,0.007,-0.075,-0.108,-0.113,0.355,0.159,0.000,1.800
5633,9.057,0.228,0.962,0.554,0.254,-0.261,-0.121,-0.237,0.052,-0.083,-0.063,2.700,2.700
5687,24.589,-0.108,2.305,0.301,0.380,0.142,0.125,0.881,0.318,0.751,0.665,0.000,9.273
5902,8.073,-0.129,0.268,0.296,0.094,-0.085,0.003,0.009,-0.090,0.171,0.241,3.000,3.000
6328,6.655,0.344,-0.960,0.579,0.010,0.381,0.183,0.201,0.221,0.685,-0.095,1.500,2.700
6329,16.381,-0.099,1.463,0.047,-0.029,0.789,0.431,1.026,0.822,0.476,0.282,0.000,3.000
6690,1.802,-0.010,0.017,0.100,0.132,0.054,-0.036,-0.058,-0.107,-0.122,-0.200,1.636,0.818
6691,9.789,-0.017,-0.411,0.974,0.544,0.205,0.397,0.398,0.014,0.863,0.203,0.000,2.700
6895,6.321,-0.068,0.121,0.226,0.347,0.157,0.156,-0.079,0.125,-0.050,-0.067,2.400,1.500
7416,12.169,0.169,0.800,1.178,0.751,-0.151,-0.065,-0.272,-0.149,1.539,0.177,0.000,2.700
7907,1.726,-0.110,0.722,-0.145,-0.184,-0.132,0.054,-0.267,-0.116,0.176,-0.181,0.000,1.800
7913,6.059,0.063,1.181,0.254,0.173,-0.093,-0.097,-0.088,0.035,-0.020,-0.050,0.000,2.100
