Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
188,21.560,-0.617,3.786,1.078,1.590,2.465,2.718,2.291,1.583,1.097,0.320,3.000,2.250
610,23.615,-0.507,5.223,0.650,0.743,0.187,0.488,1.671,2.075,1.961,1.001,3.375,6.750
2200,36.091,-0.231,8.102,2.777,3.764,0.782,1.052,0.724,0.659,2.869,1.880,3.000,10.714
2386,28.898,0.121,6.942,-0.199,-0.172,1.264,0.904,0.447,0.007,2.081,0.627,6.000,10.875
2708,7.740,0.474,-0.361,-0.053,-0.312,0.482,0.353,0.685,0.737,1.008,0.012,2.571,2.143
2852,17.472,-0.256,3.368,0.124,-0.504,0.456,0.342,1.725,0.152,2.648,0.845,6.000,2.571
2994,15.409,0.233,1.277,0.899,0.830,0.195,-0.509,0.310,0.018,0.179,-1.147,5.625,7.500
3571,3.560,0.050,2.395,-0.101,-0.464,0.038,0.083,-0.428,0.098,-0.683,-0.428,2.571,0.429
4015,7.398,0.475,4.229,-0.011,-0.848,-0.114,0.051,0.093,0.266,-1.202,0.173,2.143,2.143
4152,19.141,2.470,-1.372,1.294,1.068,0.688,-0.262,0.721,0.074,2.799,0.518,6.000,5.143
4476,17.066,-0.480,3.653,0.245,0.986,1.143,-0.111,0.903,0.192,1.146,1.246,5.143,3.000
4519,10.555,0.012,4.385,-0.112,-0.167,0.526,0.543,-0.046,-0.311,-1.785,-1.115,5.250,3.375
4525,11.217,-0.168,0.675,1.993,1.765,-0.316,-0.049,0.118,-0.224,1.799,0.052,3.000,2.571
4704,11.682,0.676,3.104,1.161,1.689,-0.648,-0.389,-0.521,-0.056,1.151,0.800,2.571,2.143
4783,15.274,-0.130,3.100,1.162,1.589,-0.265,0.069,0.018,-0.111,1.827,0.140,5.250,2.625
4907,19.841,0.584,-0.756,1.156,1.776,1.485,1.371,1.451,-0.352,0.305,-0.679,3.000,10.500
4936,21.070,1.768,3.829,1.751,1.658,0.198,0.087,0.218,-0.725,2.172,1.864,5.250,3.000
4946,17.308,-0.555,3.993,1.110,1.930,1.205,1.292,0.585,-0.176,1.925,1.126,3.000,1.875
4951,15.971,0.011,8.211,0.005,0.198,-0.597,-1.058,-0.327,0.358,0.235,0.310,5.625,3.000
5036,17.715,-0.218,9.438,1.542,2.525,-0.593,-0.519,-0.372,-0.215,0.763,0.114,3.000,2.250
5409,13.370,0.201,5.128,0.458,0.581,-0.052,-0.139,-0.316,0.515,-0.128,-0.753,5.250,2.625
5426,7.677,0.615,-0.539,-0.185,0.032,-1.090,-0.787,-0.791,-0.370,2.785,1.576,5.143,1.286
5885,30.426,3.933,0.541,1.789,2.751,-0.015,-0.053,-0.557,-0.245,3.761,0.522,6.000,12.000
6070,2.188,0.005,-1.196,0.488,0.847,-0.698,-0.885,0.009,-0.713,-0.248,-0.993,3.857,1.714
6110,12.183,-0.229,1.876,1.399,2.285,0.143,-0.374,0.833,0.764,-0.174,0.517,2.571,2.571
6135,19.771,0.023,6.540,1.304,2.497,-0.418,-0.721,-0.330,-0.348,0.787,2.188,5.250,3.000
6514,4.690,-0.587,-0.977,0.794,0.152,0.149,-0.547,0.572,-0.200,-0.294,0.379,3.375,1.875
6859,1.248,0.604,-1.089,-0.977,-0.727,-0.183,-0.508,0.051,-0.154,-0.588,0.104,3.000,1.714
6864,7.533,-0.007,0.765,0.298,-0.779,-0.160,-0.067,-0.033,0.342,-0.062,-0.476,4.714,3.000
6866,16.915,0.040,4.347,1.245,1.957,-0.080,0.510,0.019,0.020,-0.086,0.370,6.000,2.571
6867,20.118,3.944,-0.491,2.456,1.308,-0.121,0.243,-0.234,-0.094,1.836,-0.354,6.000,5.625
6975,5.314,0.747,1.308,-0.404,-0.730,0.698,0.378,0.229,0.490,0.335,-0.737,1.714,1.286
6987,11.879,0.276,6.094,0.297,1.264,-0.313,-0.020,0.025,0.161,-0.724,-0.057,2.250,2.625
7267,18.708,0.081,8.639,-0.242,-0.304,0.433,0.881,0.282,0.081,2.739,0.546,3.857,1.714
7564,5.380,-0.562,-2.598,0.401,0.464,-0.169,0.189,-0.070,-0.317,0.770,0.523,4.875,1.875
7614,4.605,0.807,1.857,-0.993,-1.629,-0.221,0.126,0.797,-0.115,-0.872,0.349,2.625,1.875
7690,1.881,1.062,-4.050,-1.172,-1.651,1.386,1.029,0.740,1.387,-0.304,-0.403,2.143,1.714
7710,6.216,0.567,-0.636,0.591,-0.054,0.037,-0.209,-0.299,-0.378,-0.008,-1.108,5.143,2.571
7712,5.218,0.907,1.523,0.597,1.125,-0.852,-0.582,-0.689,-0.394,-0.053,-0.114,1.875,1.875
7735,9.141,-0.657,2.445,0.793,0.967,0.366,0.097,-0.426,-0.356,0.539,-0.199,3.857,1.714
