Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
103,22.463,0.058,4.187,1.469,1.864,0.429,0.147,0.644,0.639,0.020,0.339,3.000,9.667
203,16.116,-0.486,6.116,0.434,1.039,0.760,0.173,0.974,0.832,-0.481,-0.244,5.000,2.000
293,6.982,-0.126,-0.552,0.554,0.649,-0.111,0.108,0.070,0.039,1.002,0.350,3.000,2.000
319,17.059,-0.081,7.649,1.752,2.454,0.099,-0.150,-0.140,-0.223,-0.146,-0.157,3.000,3.000
708,8.086,-0.348,2.210,-0.965,-0.991,-0.189,-0.127,0.066,0.091,0.517,0.154,5.333,2.333
709,25.177,-0.566,7.440,0.260,1.308,0.079,0.021,-0.325,0.052,0.179,-0.148,6.000,10.875
816,7.294,-0.171,2.413,0.473,1.062,-0.377,-0.189,-0.284,-0.420,0.920,0.117,1.875,1.875
1143,6.236,0.494,2.266,0.520,0.393,-0.322,-0.130,-0.230,-0.300,-0.802,-0.655,2.667,2.333
1218,18.214,-0.317,1.036,0.969,1.467,0.333,-0.143,1.155,0.804,1.733,0.176,5.000,6.000
1391,11.186,0.214,4.695,-0.052,0.003,0.033,0.009,0.686,0.737,0.550,0.186,2.625,1.500
1647,3.538,0.409,0.798,-1.381,-1.714,-0.227,0.087,0.375,-0.142,0.260,0.074,3.000,2.000
1807,25.410,1.250,5.282,1.720,2.592,-0.154,-0.085,0.426,-0.209,1.718,1.538,3.000,8.333
2095,6.883,1.001,-0.940,0.649,-0.450,-0.025,-0.046,0.031,0.449,-0.414,-0.372,3.333,3.667
2234,11.196,0.059,5.569,0.971,0.371,-0.284,-0.248,-0.354,-0.179,0.622,-0.581,2.625,2.625
2458,3.942,-0.036,0.610,0.373,-0.034,-0.373,-0.258,-0.634,-0.472,0.487,-0.597,3.750,1.125
2539,23.611,-0.294,0.379,0.262,0.582,1.300,0.914,1.193,0.320,1.821,2.133,3.000,12.000
2559,12.696,-0.060,3.208,0.856,1.312,-0.219,-0.137,-0.405,-0.190,0.448,0.007,6.000,1.875
2607,18.288,-0.144,5.895,0.477,0.779,0.395,-0.172,1.456,0.770,0.550,-0.052,6.000,2.333
3929,8.766,0.218,1.030,-0.072,0.234,0.441,-0.181,0.559,0.270,0.478,0.913,1.875,3.000
3974,18.351,0.111,0.888,2.037,2.261,-0.049,0.016,0.951,-0.073,0.919,-0.335,3.375,8.250
4285,9.126,-0.206,3.730,-0.051,-0.100,0.184,-0.038,-0.560,0.048,0.302,-0.557,4.500,1.875
4373,15.728,0.634,3.601,1.033,1.147,0.832,0.365,0.430,0.235,1.008,0.443,3.000,3.000
4454,16.272,0.605,2.458,1.248,1.672,-0.216,-0.188,-0.915,-0.429,0.893,1.018,5.250,4.875
4652,10.666,0.217,1.325,1.064,0.299,-0.045,-0.154,-0.567,-0.308,1.042,-0.083,5.250,2.625
5181,18.058,-0.143,5.411,1.126,1.480,0.255,0.295,0.193,-0.205,1.605,0.040,6.000,2.000
5401,17.488,0.193,4.549,1.159,1.256,-0.097,-0.333,-0.107,-0.224,0.695,1.021,5.625,3.750
5457,9.642,0.330,4.895,0.240,0.136,-0.084,0.041,0.468,-0.182,-0.659,-0.419,2.250,2.625
5666,11.706,0.184,-0.049,-0.475,-0.100,0.297,0.569,0.839,0.592,1.912,0.604,5.000,2.333
5684,14.358,-0.365,5.753,0.311,0.194,-0.224,0.039,0.918,0.089,1.659,1.111,2.625,2.250
5895,23.365,0.740,4.784,2.313,3.212,-0.081,0.110,0.602,-0.065,2.121,0.963,4.333,4.333
6226,20.208,0.111,1.093,0.062,-0.496,0.748,1.169,1.132,0.995,2.650,2.620,3.000,7.125
6808,5.930,0.570,3.443,0.197,-0.858,-0.165,-0.072,-0.037,-0.188,-0.926,-0.534,1.875,2.625
6921,9.416,-0.133,3.078,0.506,1.032,0.344,-0.080,0.053,-0.043,1.159,-0.249,2.250,1.500
6943,7.921,0.301,2.038,-0.031,-0.486,-0.067,0.035,-0.142,-0.025,0.676,1.497,2.250,1.875
7414,15.375,0.241,4.609,0.779,0.579,-0.051,-0.079,1.005,-0.162,2.535,-0.079,3.000,3.000
