Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
229,17.692,0.715,2.125,0.511,0.469,0.153,0.212,-0.113,0.217,1.012,0.069,2.571,1.286
1511,9.060,0.058,0.134,0.274,0.093,-0.145,0.099,0.653,-0.110,1.128,0.658,0.000,2.500
2626,6.457,0.025,1.427,0.111,-0.175,-0.316,-0.149,0.046,-0.161,0.525,0.378,0.000,1.714
3360,14.673,-0.039,1.394,-0.296,-0.044,0.009,-0.076,0.097,0.046,1.208,0.752,3.000,3.500
3379,2.171,-0.071,0.574,-0.028,-0.110,-0.245,-0.008,0.206,-0.073,0.056,-0.272,0.000,2.000
3386,9.051,0.244,-0.767,0.469,0.366,0.279,0.006,0.424,0.146,0.969,0.842,0.000,2.500
3532,7.989,0.402,-0.094,0.897,0.567,-0.194,-0.056,0.147,0.030,0.498,0.381,0.000,2.000
3533,4.029,-0.280,0.758,0.345,-0.008,-0.197,-0.111,0.078,-0.136,0.323,0.327,0.000,1.000
3544,15.445,0.109,1.892,0.753,1.051,0.217,0.103,-0.363,-0.006,-0.181,-0.081,2.500,3.000
3550,6.405,-0.094,2.512,-0.541,-0.417,0.161,-0.028,0.276,-0.060,0.101,-0.474,0.000,2.000
3975,9.957,0.050,2.156,0.807,0.834,-0.330,-0.152,-0.191,-0.132,-0.213,0.031,0.000,1.500
3981,9.572,0.080,1.220,-0.435,-0.129,0.115,-0.025,0.183,-0.002,0.699,0.365,1.500,2.500
3985,7.749,0.230,1.500,-0.470,-0.555,-0.095,-0.107,0.264,0.417,0.789,0.516,0.000,1.000
3986,20.010,-0.200,0.411,-0.181,-0.143,1.027,0.564,1.753,0.655,1.074,1.153,0.000,5.143
3988,10.038,0.107,1.675,0.278,0.320,-0.074,-0.025,0.167,0.075,0.103,0.413,0.000,1.500
3990,17.670,0.010,0.059,0.419,0.479,0.164,0.047,0.899,0.299,1.408,0.572,3.000,4.500
4594,7.507,0.223,1.156,0.499,0.658,-0.303,-0.111,0.020,-0.106,0.378,-0.067,0.000,1.286
4930,20.567,0.271,1.246,1.021,0.727,-0.178,0.005,-0.008,-0.220,0.595,0.392,0.000,10.714
4947,15.518,0.010,1.257,-0.499,-0.336,-0.050,-0.055,0.925,0.381,0.829,1.115,2.571,3.429
4955,8.150,0.275,0.826,0.293,0.197,-0.099,-0.013,-0.054,-0.107,0.710,0.231,0.000,2.500
4957,0.587,-0.038,0.665,0.380,-0.119,0.052,0.086,-0.367,-0.246,-0.212,-0.733,0.000,2.000
5443,2.876,0.001,0.262,-0.925,-0.781,0.046,-0.012,0.254,0.144,0.600,0.695,0.000,2.000
5553,10.539,0.011,1.723,-0.066,0.053,0.068,0.049,0.114,0.255,0.861,0.275,0.000,1.500
5865,11.589,-0.027,0.998,1.313,0.935,0.065,0.021,0.000,-0.278,0.519,-0.726,3.000,2.000
6540,2.206,0.128,0.830,-0.723,-0.609,0.140,-0.044,0.188,0.007,-0.412,-0.162,2.500,1.000
6541,4.980,-0.054,0.491,0.500,0.437,-0.030,0.000,-0.179,-0.020,-0.042,-0.093,0.000,2.143
6851,8.684,-0.040,0.861,-0.025,0.016,0.229,0.003,0.472,0.166,0.327,0.373,0.000,2.500
6869,9.065,-0.071,0.405,0.084,-0.192,0.315,0.011,0.039,0.013,-0.008,0.046,2.500,5.000
6872,11.488,0.003,1.395,0.340,0.232,0.327,0.114,0.118,-0.109,0.295,0.046,0.000,4.286
6929,9.697,-0.117,0.903,0.404,0.261,-0.115,0.012,-0.160,0.218,0.841,-0.065,0.000,4.000
6953,-0.795,-0.170,-0.131,0.264,0.089,-0.104,-0.007,-0.339,0.047,-0.473,-0.049,0.000,1.000
7053,7.054,0.005,-0.188,0.912,0.721,-0.022,0.015,0.040,-0.093,0.951,-0.194,0.000,2.500
7116,9.482,-0.014,1.726,0.484,0.349,0.012,-0.028,0.014,-0.058,-0.035,-0.135,0.429,2.571
7134,2.359,-0.114,0.789,-0.041,-0.182,0.209,0.005,0.307,-0.203,-0.192,-0.401,0.000,2.000
7162,4.158,-0.056,0.250,0.831,0.502,0.060,-0.032,-0.081,-0.281,-0.056,-0.185,0.500,1.500
7471,7.130,-0.141,1.277,0.007,-0.248,0.133,-0.003,0.259,-0.052,-0.331,-0.214,2.500,2.500
7555,1.232,0.027,0.372,-0.026,0.018,-0.083,0.030,-0.001,-0.048,-0.079,-0.424,0.000,1.714
7574,12.354,0.079,2.693,0.632,0.713,0.175,-0.057,-0.406,-0.228,-0.287,0.201,0.000,2.000
7605,16.164,0.009,1.158,0.361,0.190,0.950,-0.128,1.569,0.176,-0.336,-0.376,3.000,5.000
7615,13.935,-0.100,2.407,0.361,0.234,0.001,0.252,-0.207,0.137,0.434,0.433,0.857,1.714
7700,10.905,-0.097,0.770,0.212,0.144,0.238,0.018,-0.040,0.342,-0.114,0.229,3.000,3.000
7701,5.307,0.017,0.420,0.104,0.126,0.466,0.265,-0.221,0.288,0.424,-0.525,0.000,2.000
