Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
21,10.113,-0.029,1.054,0.387,0.076,0.085,0.070,-0.406,-0.185,-0.070,-0.193,2.571,5.143
86,17.498,0.444,-1.259,0.547,0.371,1.099,0.411,1.453,0.903,1.250,1.046,0.000,3.500
108,13.915,0.146,-0.517,0.223,0.512,0.289,0.281,-0.129,0.227,1.507,0.636,0.000,6.429
263,10.748,-0.269,0.178,-0.632,-0.453,0.741,0.432,0.266,0.212,1.013,0.896,2.143,2.571
281,14.135,0.696,0.639,-0.137,0.151,-0.309,-0.045,0.033,-0.034,0.796,0.281,0.000,9.000
283,5.725,-0.015,0.829,0.181,0.150,0.464,0.528,-0.225,-0.059,-0.141,-0.430,0.000,2.143
342,11.565,-0.083,1.376,-0.708,-0.360,0.097,0.146,0.127,0.191,1.481,0.893,0.000,3.000
379,18.837,-0.092,2.920,0.430,0.377,0.251,-0.096,0.211,-0.197,0.041,-0.118,0.000,8.500
900,2.698,0.070,-0.265,0.311,0.382,-0.038,-0.009,-0.309,-0.107,0.316,-0.050,0.000,2.143
1051,14.433,0.249,0.352,0.503,0.342,-0.129,0.039,0.724,0.817,-0.116,-0.131,0.000,7.714
1287,15.564,-0.158,2.121,0.212,0.021,0.495,0.139,0.324,0.058,-0.012,0.275,3.000,3.000
1293,18.444,-0.047,2.722,0.655,0.431,-0.088,-0.127,0.235,0.469,0.665,0.207,2.000,2.500
1369,18.984,-0.233,1.513,1.261,0.847,0.271,0.005,0.920,0.340,-0.165,-0.246,3.000,4.500
1398,5.145,0.213,0.616,0.527,0.478,-0.027,-0.018,-0.194,-0.089,-0.225,-0.302,1.500,1.000
1539,10.197,-0.286,0.513,0.152,0.010,0.183,0.025,0.653,0.225,0.725,0.342,2.500,1.500
1553,6.382,-0.097,1.149,0.068,0.215,0.331,-0.064,-0.033,-0.285,-0.212,0.074,0.000,3.000
1758,-4.204,0.269,0.098,-0.042,-0.392,-0.219,-0.227,-0.066,-0.066,-0.760,-0.436,0.000,0.500
1902,19.340,-0.320,1.186,0.837,0.849,0.430,0.167,-0.009,0.062,1.441,0.740,2.571,3.000
2187,5.282,-0.005,1.038,0.267,-0.030,0.103,0.041,0.194,0.019,-0.436,-0.390,0.000,3.000
2393,15.511,-0.158,-0.381,0.102,0.154,-0.014,0.071,0.910,0.760,0.589,0.901,0.000,8.143
2614,13.045,0.141,2.367,-0.355,-0.689,0.095,0.032,0.146,-0.116,0.677,0.428,0.000,5.571
2815,7.586,0.192,0.423,0.730,0.172,0.390,0.135,0.160,-0.083,0.166,-0.212,0.000,3.000
3140,5.311,0.315,0.230,-0.085,-0.452,0.041,-0.035,0.038,0.079,0.061,0.703,1.000,2.000
3489,7.577,-0.141,0.825,-0.466,-0.276,0.769,0.408,0.497,0.093,0.185,0.246,0.500,1.500
3490,14.927,0.263,-0.373,0.020,-0.241,0.029,-0.024,0.921,0.141,1.438,0.691,0.000,9.000
3651,4.875,0.020,0.552,0.163,0.231,-0.156,0.069,-0.188,0.044,-0.113,-0.231,0.429,3.000
3824,12.463,0.294,1.172,0.948,0.710,-0.190,-0.065,0.026,-0.290,0.899,-0.191,1.000,3.500
3976,6.358,0.423,0.822,0.370,0.329,0.161,0.274,0.008,-0.133,-0.525,-0.464,0.000,3.000
4005,12.775,0.156,0.932,-0.312,0.251,1.121,0.087,0.760,0.327,1.109,0.201,0.000,1.714
4020,28.661,0.145,-0.084,0.955,0.712,0.813,0.050,1.102,0.298,0.840,1.007,3.000,12.000
4073,7.989,0.055,-0.198,0.193,0.061,0.163,0.011,0.126,-0.016,0.399,0.181,1.714,4.286
4074,0.079,-0.232,-0.431,-0.341,-0.420,0.077,0.088,-0.218,0.159,0.531,0.085,0.000,2.000
4075,7.603,0.135,0.815,0.179,0.226,-0.285,0.026,0.147,0.204,0.048,0.114,0.000,3.000
4083,5.226,0.182,0.066,0.442,0.155,-0.051,-0.043,-0.175,0.057,-0.368,-0.012,2.000,2.500
4187,3.922,-0.037,0.063,-0.238,0.254,-0.001,-0.061,0.005,0.074,0.628,0.073,1.500,0.500
4243,3.215,0.209,1.036,0.105,-0.012,-0.008,-0.130,0.298,0.009,-0.173,-0.262,0.000,0.429
4267,-0.473,-0.074,0.644,-0.828,-0.525,-0.299,-0.105,-0.269,0.097,0.256,0.041,0.000,1.500
4451,24.785,-0.063,2.544,0.857,0.843,0.239,-0.228,0.541,0.052,0.579,0.282,0.000,10.000
4504,5.515,1.314,-0.560,0.315,0.199,-0.147,-0.038,-0.354,-0.169,0.216,0.178,2.500,1.500
4582,9.415,-0.154,1.039,0.821,0.859,-0.112,-0.043,-0.071,0.101,0.128,0.108,0.000,2.000
4748,9.272,-0.124,0.569,0.705,0.885,-0.170,-0.043,-0.391,0.125,0.103,-0.027,3.000,1.500
4823,3.837,-0.112,1.165,0.274,-0.481,-0.197,0.062,-0.518,-0.223,-0.520,-0.029,0.000,4.500
4847,5.449,0.009,1.321,0.540,0.394,0.238,-0.157,0.049,-0.035,0.101,-0.330,0.000,0.000
4965,13.219,1.252,0.417,0.673,0.837,0.292,0.028,0.084,0.321,-0.654,-0.129,3.000,2.500
5022,16.983,-0.056,2.029,0.893,0.874,0.334,0.047,0.268,0.012,0.958,0.243,0.000,2.571
5063,6.412,-0.248,0.550,1.060,0.359,0.296,0.054,-0.186,-0.115,0.029,-0.059,0.000,2.143
5130,4.203,-0.370,0.008,0.466,0.184,0.053,-0.163,-0.028,0.069,0.595,0.397,0.000,1.286
5317,7.575,0.139,1.630,0.442,0.286,-0.197,-0.068,0.189,-0.217,-0.157,-0.097,0.000,2.143
5327,6.517,-0.013,0.562,0.480,0.753,0.058,0.053,0.381,-0.013,-0.383,-0.198,0.000,2.000
5410,4.870,0.026,-0.372,-0.032,-0.310,-0.181,-0.133,0.370,0.035,-0.090,0.199,2.143,4.286
