Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
418,11.348,-0.057,3.439,-0.302,-0.976,-0.017,0.068,0.460,0.041,1.847,1.179,3.000,2.667
624,19.342,0.064,6.001,-0.771,-0.562,0.185,0.163,1.076,-0.124,1.117,1.691,6.000,4.500
647,5.558,0.212,-0.626,0.092,-0.493,0.221,0.295,-0.033,-0.105,1.162,0.501,2.000,2.333
2158,12.167,-0.013,4.968,-0.747,-0.457,0.018,-0.252,-0.104,0.161,-0.299,0.268,6.000,2.625
2468,28.078,0.009,3.981,1.870,2.611,0.685,-0.055,1.193,1.065,2.274,1.695,3.000,9.750
2583,8.841,-0.125,1.390,0.832,0.767,-0.117,-0.100,-0.572,-0.122,0.371,-0.608,4.125,3.000
2714,11.931,-0.058,0.233,0.298,-0.183,2.163,1.328,1.424,0.013,-0.242,0.290,4.333,2.333
2721,2.464,0.057,0.422,-0.130,-0.184,-0.344,-0.277,-0.203,-0.128,-0.535,0.121,2.000,1.667
2789,6.421,0.056,1.641,0.279,0.665,-0.125,-0.090,-0.365,-0.122,-0.317,-0.450,2.625,2.625
2848,3.703,-0.046,-0.775,0.070,0.046,-0.095,-0.299,-0.379,-0.013,-0.395,-0.412,3.000,3.000
2881,10.997,-0.104,0.987,0.669,1.086,-0.184,-0.112,-0.332,-0.100,1.498,-0.286,6.000,1.875
2950,4.706,-0.021,0.665,0.338,0.200,-0.127,-0.124,-0.251,-0.052,-0.120,-0.467,2.333,2.333
3005,12.420,-0.028,1.473,0.837,1.760,0.715,0.706,0.892,0.320,1.385,0.236,2.625,1.500
3561,9.452,-0.063,3.948,0.050,0.670,-0.381,-0.131,-0.617,-0.171,-0.953,-0.566,6.000,1.667
3676,21.073,-0.022,10.060,1.264,2.347,-0.060,-0.086,0.279,-0.013,1.446,0.609,3.000,2.250
3679,18.810,-0.008,8.882,0.079,0.759,0.196,-0.085,0.354,0.626,0.630,1.002,3.375,3.000
3743,5.513,-0.021,0.241,-0.249,-0.559,0.014,-0.171,0.739,-0.176,0.403,0.415,1.875,3.000
3834,1.928,0.213,0.626,-0.108,-0.782,-0.025,0.001,0.037,-0.104,0.243,-0.173,0.333,1.667
4610,25.422,0.278,11.061,1.676,2.941,-0.192,-0.268,0.105,-0.081,1.691,1.086,6.000,1.125
5052,6.369,-0.011,4.085,-0.005,-0.866,-0.113,-0.319,-0.522,-0.007,-0.227,0.229,2.250,1.875
5103,12.472,0.273,4.534,1.106,0.111,0.005,0.130,0.069,-0.068,-0.533,0.094,4.875,1.875
5503,14.792,0.026,4.879,1.361,1.925,-0.165,-0.022,0.040,-0.069,1.210,-0.060,3.000,2.667
5754,8.575,-0.080,2.315,-0.092,-0.036,0.002,-0.048,0.188,-0.035,1.065,0.797,1.875,2.625
6155,9.796,0.068,2.252,0.915,0.581,0.146,-0.224,-0.036,-0.052,0.245,0.651,2.625,2.625
6180,9.442,0.050,-0.488,0.992,0.083,0.113,0.131,1.311,-0.107,1.925,-0.194,3.000,2.625
6321,13.776,-0.056,3.442,1.387,1.122,0.050,0.145,-0.104,0.033,0.388,-0.506,3.000,4.875
6357,12.665,-0.065,2.483,1.940,1.512,0.437,-0.038,0.805,0.006,0.446,-0.486,3.000,2.625
6377,31.376,-0.018,12.757,0.517,1.533,0.157,0.639,-0.131,-0.215,1.875,0.014,4.875,9.375
6646,13.245,-0.101,2.558,2.064,2.383,-0.065,-0.002,-0.319,-0.001,0.846,-0.451,3.000,3.333
6664,1.776,-0.070,1.208,-0.040,-0.432,-0.045,0.015,-0.092,-0.034,-0.770,-0.297,1.000,1.333
7138,10.295,-0.035,2.183,-0.025,0.642,0.450,0.428,0.656,0.116,0.577,0.054,3.000,2.250
7264,3.826,-0.076,0.946,-0.078,-0.277,0.382,0.019,0.337,0.655,0.207,0.211,0.375,1.125
7511,5.433,0.175,2.024,-0.069,-0.408,0.026,-0.037,0.275,0.092,0.241,-0.260,1.500,1.875
7621,4.035,0.254,-0.824,0.230,-0.202,-0.127,0.112,-0.100,-0.007,-0.425,0.250,2.250,2.625
7837,4.053,-0.088,1.388,0.236,0.582,-0.075,0.005,-0.103,-0.013,0.544,-0.756,0.333,2.000
7872,4.027,-0.067,-1.604,1.025,-1.005,-0.087,-0.051,0.030,-0.006,0.577,-0.034,3.000,2.250
