Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
118,33.811,-0.483,1.697,0.659,0.823,1.317,0.518,2.969,3.302,3.964,5.046,3.000,11.000
457,4.386,-0.210,1.159,-0.617,-0.483,-0.102,0.266,0.369,-0.012,0.007,-0.324,2.333,2.000
1164,9.685,-0.128,-0.026,0.391,0.077,0.302,0.212,-0.206,-0.073,0.235,0.567,5.333,3.000
2613,8.415,0.111,-0.576,0.837,0.422,-0.251,-0.088,0.067,-0.066,0.142,-0.516,3.333,5.000
3366,7.568,-0.359,4.682,0.288,0.136,0.251,-0.129,-0.106,-0.053,0.375,0.683,0.000,1.800
3847,16.655,0.304,1.059,0.483,0.144,1.969,1.403,0.696,0.382,2.803,2.412,3.333,1.667
4063,22.750,2.827,-0.879,3.050,4.620,-0.530,-0.268,0.258,0.272,0.483,-0.084,3.333,9.667
4153,13.186,1.720,1.157,0.888,0.744,-0.188,-0.078,-0.519,-0.515,0.256,0.055,6.000,3.667
4301,10.563,0.496,3.426,0.339,0.547,0.159,0.134,-0.263,-0.416,0.438,0.370,2.667,2.667
4328,3.986,0.142,-1.863,1.261,0.891,0.131,0.006,-0.392,-0.318,0.285,-0.157,2.333,1.667
4378,13.729,-0.206,7.635,-0.045,-0.060,0.012,0.083,-0.325,-0.238,0.496,0.977,2.700,2.700
4717,5.153,-0.044,1.600,-0.439,-0.183,0.172,0.400,0.137,0.004,-0.030,-0.464,1.667,2.333
4799,6.965,-0.218,3.665,0.448,-0.133,-0.272,-0.204,0.100,-0.086,-0.047,-0.622,2.000,2.333
5047,4.847,0.464,0.899,0.281,0.090,-0.426,-0.267,0.022,-0.043,0.208,0.288,1.667,1.667
5613,1.171,0.145,-1.064,0.120,-0.256,-0.026,-0.300,0.452,0.257,0.154,-0.310,0.000,2.000
5783,9.430,0.310,0.318,0.690,0.472,0.317,-0.145,0.400,0.272,1.297,-0.169,3.000,2.667
5866,11.635,-0.108,3.575,0.386,0.276,0.067,0.085,-0.268,-0.408,0.074,-0.046,5.333,2.667
6144,13.844,-0.133,2.162,0.309,0.155,0.092,-0.240,0.280,0.167,-0.086,-0.196,2.333,9.000
6682,6.449,-0.158,-0.657,-0.014,0.155,0.352,0.643,0.031,0.354,0.276,0.135,2.333,3.000
6974,10.812,0.110,5.085,-0.133,0.235,-0.229,-0.104,0.360,0.093,0.205,-0.145,3.667,1.667
7271,10.106,0.317,5.713,0.454,0.565,-0.595,-0.385,-0.493,-0.499,0.178,-1.150,3.333,2.667
7533,2.178,-0.161,-0.992,0.180,-0.090,0.147,-0.082,-0.053,0.055,-0.249,0.424,0.667,2.333
7540,10.437,0.371,-0.605,0.641,0.400,0.023,-0.197,-0.016,0.087,2.682,1.385,2.667,3.000
7649,1.757,0.268,-1.306,-0.585,-0.724,-0.071,0.100,0.431,0.431,0.055,-0.174,1.667,1.667
7750,6.904,0.217,0.389,0.094,-0.147,0.415,0.576,0.306,0.375,-0.269,0.448,2.400,2.100
