Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
122,8.647,0.890,2.188,0.727,0.602,-0.147,-0.302,-0.318,-0.347,0.743,-0.262,2.625,2.250
346,33.818,4.826,0.886,1.707,2.348,0.010,0.076,-0.117,0.063,2.867,3.525,5.625,12.000
384,18.110,0.797,4.863,1.785,1.162,0.107,-0.038,-0.371,-0.274,-0.190,-0.607,4.875,6.000
422,16.757,-0.164,10.281,0.575,0.128,-0.534,0.030,-0.433,-0.055,-0.417,-0.529,6.000,1.875
539,9.406,1.134,0.222,1.075,0.365,-0.046,0.758,-0.066,0.354,-0.563,-0.202,3.375,3.000
540,12.004,-0.092,2.538,0.601,0.071,0.761,0.444,0.876,0.781,1.174,1.100,2.250,1.500
617,4.158,-0.019,3.839,0.725,-0.036,-0.341,-0.240,-0.153,-0.041,0.170,-0.497,0.375,0.375
619,20.896,1.182,3.043,1.547,0.960,-0.026,-0.471,0.026,0.858,2.907,2.622,6.000,2.250
977,13.078,-0.202,3.345,0.104,0.392,-0.287,-0.381,0.477,-0.400,1.607,-0.203,5.625,3.000
1080,10.494,-0.319,2.727,-0.485,-0.108,0.427,0.022,0.067,0.492,0.921,0.749,3.000,3.000
1086,11.711,-0.139,4.551,1.165,1.096,-0.317,0.061,-0.094,-0.184,0.791,-0.844,3.000,2.625
1262,23.196,0.151,1.299,0.354,1.506,1.719,1.769,1.769,1.198,1.954,2.853,3.000,5.625
1413,16.938,-0.181,7.098,-0.274,0.823,-0.194,-0.009,0.165,0.085,0.497,0.303,4.500,4.125
1522,12.264,0.180,2.835,1.772,2.595,0.010,0.019,0.014,-0.013,-0.126,-0.273,2.625,2.625
1598,3.678,0.390,0.126,-0.070,0.379,-0.057,-0.290,0.304,0.057,0.146,-0.683,3.000,0.375
1599,17.945,0.002,0.895,1.501,1.984,0.231,0.655,0.008,0.055,0.898,0.466,4.500,6.750
1610,23.123,0.203,0.650,1.121,0.098,2.629,0.649,2.507,1.118,3.854,0.628,6.000,3.667
1793,11.438,0.039,0.708,1.228,0.460,0.062,0.712,0.125,-0.297,2.643,0.883,2.625,2.250
1908,14.709,-0.773,6.901,1.007,1.363,0.067,-0.180,-0.054,-0.215,-0.079,1.007,1.667,4.000
2106,19.842,0.897,1.009,1.194,0.578,0.740,0.142,1.842,-0.002,1.014,-0.322,3.000,9.750
2998,18.754,0.691,6.827,1.131,2.236,-0.044,-0.070,-0.005,-0.179,-0.126,-0.373,6.000,2.667
3136,13.973,0.428,4.315,0.985,1.246,0.112,-0.155,-0.609,0.043,0.196,0.285,4.875,2.250
3258,9.393,0.048,5.921,-0.476,0.039,-0.046,-0.182,-0.143,-0.175,-0.481,-0.361,2.625,2.625
3359,11.827,-0.779,3.842,0.748,-0.149,0.005,0.136,-0.080,-0.173,0.552,0.225,4.500,3.000
3361,15.055,0.598,2.529,0.753,-0.035,0.676,-0.102,0.499,-0.179,-0.349,-1.002,5.333,6.333
4286,6.605,0.672,1.637,0.371,0.448,-0.205,-0.050,-0.356,0.061,-0.060,-0.036,3.375,0.750
5546,16.055,-0.322,3.854,0.186,1.260,0.738,0.185,1.290,0.689,0.848,0.952,3.000,3.375
5804,9.437,-0.163,1.614,0.350,-0.228,-0.007,-0.219,0.224,-0.152,0.071,0.447,4.500,3.000
5950,8.951,-0.480,0.994,0.252,0.873,-0.101,-0.140,0.407,0.043,0.656,1.199,2.250,3.000
5957,5.925,0.110,-0.059,0.146,-0.045,-0.335,-0.191,0.092,0.166,0.196,-0.905,4.125,2.625
6021,2.144,-0.060,1.235,0.015,-0.318,0.058,0.322,0.085,-0.065,0.504,-0.007,0.000,0.375
6189,2.219,-0.274,-1.170,0.776,-0.732,0.419,-0.281,-0.265,-0.271,0.760,1.006,0.750,1.500
6334,9.417,0.667,-1.537,-0.044,0.115,0.750,-0.186,1.011,-0.161,1.727,1.073,4.125,1.875
6802,22.107,-0.345,8.305,1.078,2.003,0.015,-0.041,0.020,-0.041,0.878,0.860,3.000,6.375
6882,5.543,-0.528,0.203,0.100,0.920,0.106,-0.091,0.171,-0.130,-0.057,-0.025,2.625,2.250
7330,-0.020,0.853,0.299,0.169,-0.108,-0.015,-0.158,-0.130,-0.176,0.095,-0.850,0.000,0.000
7429,5.195,-0.509,-0.426,0.352,0.375,-0.107,-0.367,-0.154,0.395,-0.882,0.518,4.125,1.875
