Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
116,11.395,-0.128,5.839,0.071,0.485,-0.006,-0.027,0.048,-0.228,0.764,-0.090,2.667,2.000
316,17.655,-0.059,6.079,0.894,0.786,-0.157,0.032,0.648,-0.137,1.422,-1.185,6.000,3.333
339,14.170,-0.050,3.667,-0.555,-0.774,0.542,0.057,0.132,0.055,1.082,0.263,6.000,3.750
611,13.171,-0.008,6.458,-0.518,-0.335,0.152,-0.061,-0.113,-0.131,1.680,1.546,3.000,1.500
612,24.472,-0.058,4.504,1.388,2.420,-0.053,-0.010,-0.637,-0.107,-0.185,0.211,5.667,11.333
614,25.223,-0.060,9.469,1.028,1.319,0.014,0.196,0.776,0.619,0.644,0.217,6.000,5.000
620,1.657,0.073,-1.397,-0.030,-0.010,0.152,-0.050,-0.299,-0.125,-0.021,-0.385,2.250,1.500
623,10.309,-0.086,3.194,0.737,0.008,-0.102,0.340,0.083,0.153,0.492,0.489,2.667,2.333
888,15.367,0.076,2.843,0.152,0.813,-0.019,-0.369,0.056,-0.035,1.618,1.231,4.667,4.333
1123,6.064,-0.006,1.524,0.306,-0.170,-0.187,0.061,-0.188,0.073,0.366,0.619,2.333,1.333
1418,22.271,-0.007,-1.176,0.795,0.185,3.559,2.676,2.771,2.248,2.311,2.535,3.000,3.375
1629,13.264,-0.027,3.046,1.625,1.767,0.018,-0.063,0.105,-0.145,0.828,0.485,3.000,2.625
1719,14.454,0.224,-2.280,0.902,1.239,0.005,0.055,-0.048,-0.330,1.561,1.792,3.000,8.333
1731,11.345,-0.039,3.699,-0.470,-0.543,0.273,0.031,-0.199,-0.056,0.915,1.735,4.875,1.125
1895,17.098,0.010,5.711,0.680,0.934,0.151,0.066,0.606,0.173,1.090,1.011,3.667,3.000
2028,10.892,-0.072,4.942,0.588,1.089,-0.512,-0.490,-0.645,-0.529,0.588,0.307,3.000,2.625
2186,9.323,-0.101,2.444,0.559,1.099,-0.076,-0.507,0.535,-0.606,0.763,0.338,2.250,2.625
2199,15.953,0.034,4.338,0.403,1.277,0.276,0.042,-0.174,-0.241,-0.194,-0.808,2.667,8.333
2363,21.332,0.494,2.147,0.556,0.971,0.194,0.121,0.043,0.555,0.592,1.035,5.250,9.375
2421,6.400,-0.085,1.487,-0.213,-0.088,-0.221,0.034,-0.234,-0.021,0.899,1.465,1.875,1.500
2534,22.040,-0.087,5.396,1.151,1.174,-0.615,-0.359,0.716,0.040,3.139,2.859,3.000,5.625
2819,0.937,0.367,1.202,0.650,-0.355,0.019,0.030,-0.149,-0.005,-1.098,-1.057,0.000,1.333
2961,-0.219,0.016,-0.121,0.115,0.222,0.080,-0.052,0.046,-0.362,-0.501,-0.035,0.375,0.000
2988,19.413,0.224,2.771,1.444,0.119,0.142,0.013,-0.006,0.129,3.030,1.547,5.333,4.667
3274,2.943,-0.044,-0.694,1.373,0.861,-0.147,0.011,-0.285,-0.073,-0.946,-1.446,3.000,1.333
3373,8.900,-0.117,1.388,0.228,0.074,0.149,0.500,-0.117,0.420,1.371,1.672,2.000,1.333
3455,16.265,-0.015,3.398,1.994,1.468,0.313,0.189,0.753,0.590,1.323,0.919,3.667,1.667
3941,14.743,-0.089,6.219,-0.099,0.673,0.072,-0.385,0.429,0.152,-0.027,0.674,4.500,2.625
4099,14.589,0.187,3.733,0.906,0.495,0.192,-0.014,0.610,-0.114,1.250,0.593,4.875,1.875
4242,18.161,-0.064,5.421,0.346,1.351,-0.119,-0.148,0.603,-0.150,0.555,0.700,6.000,3.667
4464,1.069,-0.008,-0.837,-0.127,0.462,-0.005,0.447,-0.068,0.108,-0.241,-0.328,1.000,0.667
4505,13.539,-0.031,6.058,-0.525,-0.327,0.057,-0.366,-0.177,-0.327,1.416,-1.238,6.000,3.000
5338,15.374,-0.019,2.419,0.786,-0.151,0.235,0.081,0.860,0.108,0.604,-0.800,2.250,9.000
5549,10.203,0.029,1.356,0.682,0.241,0.145,0.153,1.634,0.127,0.291,0.545,3.000,2.000
6504,10.639,-0.005,0.367,-0.102,-0.058,0.018,0.449,0.332,0.627,-0.475,-1.390,6.000,4.875
6543,12.773,-0.109,6.366,1.352,1.004,0.016,0.003,-0.203,0.053,-0.577,-0.464,3.000,2.333
6584,9.043,0.162,2.599,0.495,0.786,-0.015,-0.082,0.582,0.115,-0.110,0.010,2.250,2.250
6863,2.497,0.208,-0.914,0.186,-0.141,-0.101,-0.132,0.033,-0.101,0.444,0.389,0.750,1.875
