Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
360,18.800,0.802,0.937,0.703,0.216,-0.416,-0.163,0.127,-0.049,0.016,0.294,6.000,10.333
949,7.201,0.183,1.347,1.157,1.000,0.290,-0.023,0.089,-0.071,1.435,0.293,0.750,0.750
1318,17.883,0.270,8.241,0.393,0.984,0.370,-0.079,0.980,-0.039,1.533,0.229,2.667,2.333
1778,7.630,0.373,0.820,0.207,0.394,-0.173,-0.134,0.090,-0.091,0.785,0.025,3.000,2.333
1983,19.367,-0.255,2.893,0.600,0.534,0.780,0.027,1.142,-0.124,0.907,0.488,6.000,6.375
2147,18.762,2.042,1.537,1.958,0.882,-0.237,-0.037,-0.078,0.007,1.643,0.046,6.000,5.000
2605,4.974,0.055,0.318,0.824,0.322,-0.022,0.002,-0.499,-0.064,-0.265,-0.697,2.333,2.667
2903,6.474,1.119,0.882,0.754,0.047,-0.358,-0.086,-0.744,0.060,0.344,-0.044,3.000,1.500
2910,29.996,4.535,-0.510,2.036,2.474,0.592,0.064,0.344,0.020,2.933,2.508,4.125,10.875
2928,17.883,-0.187,3.553,0.595,0.826,-0.321,-0.065,0.221,-0.026,1.379,2.575,6.000,3.333
2930,22.837,0.575,6.199,1.803,2.597,0.700,0.028,0.401,0.019,0.838,1.053,3.375,5.250
2980,13.164,-0.257,-0.970,0.315,-0.029,0.654,0.363,1.614,0.002,2.417,2.722,4.333,2.000
3049,5.364,0.840,1.828,0.198,0.300,-0.177,-0.046,-0.403,-0.045,-0.357,-0.524,2.250,1.500
3219,4.230,0.919,-0.272,-0.336,0.021,-0.443,-0.037,-0.835,0.001,-0.300,-0.488,5.000,1.000
3238,10.542,0.049,-1.092,0.431,0.636,0.259,-0.051,1.507,0.345,1.002,0.456,4.333,2.667
3268,10.150,-0.253,3.392,0.700,0.431,0.946,0.459,0.324,-0.025,-0.307,-0.391,3.000,1.875
3663,12.919,-0.698,5.874,0.573,0.319,-0.236,0.043,-0.549,0.014,0.443,0.012,4.125,3.000
3786,5.742,-0.117,-0.036,-0.487,-0.912,0.452,-0.037,0.467,-0.068,0.961,0.270,3.375,1.875
3812,11.873,-0.596,2.626,0.296,0.313,0.081,0.025,0.030,-0.070,0.148,0.021,6.000,3.000
3826,11.092,0.665,-1.847,1.826,1.472,-0.039,0.394,0.154,-0.026,0.693,0.301,5.250,2.250
4089,9.352,0.221,0.354,-0.274,-0.484,0.257,-0.111,0.432,0.073,0.816,0.402,3.000,4.667
4173,11.812,-0.833,3.881,-0.431,-0.120,0.717,0.299,0.461,-0.068,0.466,1.439,3.667,2.333
4180,2.109,-0.731,0.289,0.263,0.107,0.066,0.038,-0.507,-0.024,-1.437,-0.831,3.000,1.875
4309,14.105,1.534,-0.698,2.334,2.454,-0.080,-0.085,-0.101,-0.005,2.737,0.765,3.000,2.250
4469,17.324,0.284,2.508,-0.323,-0.038,0.611,0.349,1.015,0.383,1.088,1.698,5.625,4.125
4512,13.349,0.880,2.589,0.096,-0.908,0.732,-0.106,1.391,0.011,1.735,-0.195,4.875,2.250
4513,13.635,0.420,3.555,1.365,1.649,0.061,-0.056,0.105,-0.068,1.202,-0.222,3.000,2.625
4579,8.453,0.917,-0.492,1.198,1.415,-0.371,-0.104,-0.258,0.338,0.925,0.385,2.250,2.250
4682,8.245,-0.431,1.932,-0.383,0.333,0.256,0.067,1.160,0.006,1.276,-0.303,2.333,2.000
4683,3.556,0.074,0.309,-0.044,0.243,0.097,-0.120,0.311,-0.024,0.239,0.472,0.000,2.000
5295,3.101,0.307,1.083,0.346,-0.483,-0.324,-0.134,-0.107,0.030,-0.409,-0.208,0.750,2.250
5683,12.044,0.654,-0.876,0.521,0.195,0.150,-0.109,2.068,0.050,1.951,2.441,2.333,2.667
5803,20.628,-0.235,3.545,0.802,0.193,0.091,0.197,0.691,-0.073,1.426,0.323,5.333,8.333
7627,8.084,1.055,0.801,0.955,0.703,-0.106,-0.020,-0.065,-0.026,0.169,-1.049,2.667,3.000
